name,price,date,rating
北京,30158,2012,+2.15
上海,23428,2012,+1.4
深圳,19298,2012,+0.8
杭州,18713,2012,+1.77
三亚,18187,2012,+6.48
厦门,17185,2012,+2.85
广州,16555,2012,+2.15
宁波,15342,2012,+0.03
南京,14750,2012,+0.86
天津,12793,2012,+1.1
福州,11750,2012,+0.75
青岛,11743,2012,-1.48
大连,10540,2012,-0.24
苏州,10089,2012,+0.65
珠海,9455,2012,+0.35
南通,9408,2012,+1.02
昆明,8567,2012,+0.4
济南,8485,2012,+0.13
成都,8450,2012,+0.33
扬州,8366,2012,+2.1
泉州,8266,2012,+5.26
南昌,8123,2012,+0.37
兰州,8065,2012,+0.16
沈阳,8030,2012,-0.42
武汉,7998,2012,+0.49
泰州,7975,2012,+1.23
秦皇岛,7797,2012,+1.04
石家庄,7723,2012,+0.65
烟台,7671,2012,-0.79
太原,7625,2012,+0.75
海口,7459,2012,+0.2
无锡,7336,2012,+0.53
绍兴,7268,2012,-52.12
昆山,7075,2012,+0.9
哈尔滨,7000,2012,-0.33
廊坊,6983,2012,-0.75
郑州,6937,2012,+0.83
徐州,6833,2012,+1.56
南宁,6822,2012,-2
呼和浩特,6817,2012,-0.42
唐山,6787,2012,+7.13
东莞,6731,2012,-0.68
西安,6704,2012,+0.19
合肥,6642,2012,+0.67
镇江,6578,2012,0.0
长春,6551,2012,-0.05
重庆,6550,2012,+0.23
长沙,6539,2012,+0.51
宜昌,6407,2012,-1.02
保定,6013,2012,+0.4
中山,4885,2012,-2.32
潍坊,4947,2012,-4.44
绵阳,5025,2012,-3.68
洛阳,5095,2012,-2.97
贵阳,5123,2012,+0.85
常州,5536,2012,+7.96
桂林,5538,2012,+0.69
银川,5613,2012,-0.58
威海,5648,2012,+2.15
惠州,5698,2012,+1.84
吉林,5758,2012,+5.52
邯郸,6000,2012,0.0
佛山,6003,2012,+1.32
保定,6013,2012,+0.4
宜昌,6407,2012,-1.02
长沙,6539,2012,+0.51
重庆,6550,2012,+0.23
长春,6551,2012,-0.05
镇江,6578,2012,0.0
合肥,6642,2012,+0.67
西安,6704,2012,+0.19
东莞,6731,2012,-0.68
唐山,6787,2012,+7.13
呼和浩特,6817,2012,-0.42
南宁,6822,2012,-2
徐州,6833,2012,+1.56
郑州,6937,2012,+0.83
廊坊,6983,2012,-0.75
哈尔滨,7000,2012,-0.33
昆山,7075,2012,+0.9
绍兴,7268,2012,-52.12
无锡,7336,2012,+0.53
海口,7459,2012,+0.2
太原,7625,2012,+0.75
烟台,7671,2012,-0.79
石家庄,7723,2012,+0.65
秦皇岛,7797,2012,+1.04
泰州,7975,2012,+1.23
武汉,7998,2012,+0.49
沈阳,8030,2012,-0.42
兰州,8065,2012,+0.16
南昌,8123,2012,+0.37
泉州,8266,2012,+5.26
扬州,8366,2012,+2.1
成都,8450,2012,+0.33
济南,8485,2012,+0.13
昆明,8567,2012,+0.4
南通,9408,2012,+1.02
珠海,9455,2012,+0.35
苏州,10089,2012,+0.65
北京,40342,2013,+0.28
上海,29978,2013,+1.3
深圳,24910,2013,+0.78
厦门,23124,2013,+0.91
广州,19208,2013,-1.94
杭州,19131,2013,-1.67
三亚,19094,2013,+3.94
南京,17313,2013,+1.34
宁波,15461,2013,-0.48
天津,14519,2013,+2.2
福州,13841,2013,+0.57
青岛,12822,2013,-0.84
珠海,11365,2013,+3.07
大连,10972,2013,-0.2
苏州,10941,2013,+0.27
南昌,9208,2013,+0.46
济南,9158,2013,+0.58
武汉,8825,2013,+1.34
泉州,8724,2013,+1.07
兰州,8716,2013,-5.24
昆明,8664,2013,-0.02
石家庄,8639,2013,+1.34
成都,8597,2013,-0.28
烟台,8394,2013,+0.45
沈阳,8270,2013,-0.53
郑州,8229,2013,+0.91
南通,8218,2013,+2.49
太原,8194,2013,-1.56
扬州,8150,2013,-1.81
秦皇岛,7947,2013,+0.2
绍兴,7917,2013,+0.43
泰州,7838,2013,+0.36
唐山,7641,2013,-0.08
东莞,7611,2013,+1.28
哈尔滨,7503,2013,-0.23
